month,year,lat_range,larva_sight_dates,larva_sight_number,larva_sight_distinct_dates
10,2019,4O+_TO_45,12,61,10
10,2020,25+_TO_30,20,129,15
10,2020,30+_TO_35,50,283,23
10,2020,35+_TO_40,64,336,23
10,2020,4O+_TO_45,29,81,15
11,2012,25+_TO_30,10,21,5
11,2012,30+_TO_35,8,10,5
11,2013,25+_TO_30,15,16,12
11,2013,30+_TO_35,21,88,13
11,2013,35+_TO_40,2,2,2
11,2014,20+_TO_25,1,1,1
11,2014,25+_TO_30,9,34,9
11,2014,30+_TO_35,20,109,13
11,2014,35+_TO_40,1,1,1
11,2014,4O+_TO_45,2,2,2
11,2015,20_OR_LESS,1,15,1
11,2015,25+_TO_30,22,235,16
11,2015,30+_TO_35,28,179,19
11,2015,35+_TO_40,6,29,6
11,2015,4O+_TO_45,1,1,1
11,2016,20+_TO_25,1,21,1
11,2016,25+_TO_30,21,199,11
11,2016,30+_TO_35,34,189,17
11,2016,35+_TO_40,15,42,8
11,2016,4O+_TO_45,1,1,1
11,2017,25+_TO_30,23,230,17
11,2017,30+_TO_35,28,144,17
11,2017,35+_TO_40,16,72,13
11,2017,4O+_TO_45,1,9,1
11,2018,25+_TO_30,19,135,13
11,2018,30+_TO_35,13,88,8
11,2018,35+_TO_40,5,14,4
11,2019,25+_TO_30,14,65,10
11,2019,30+_TO_35,21,110,16
11,2019,35+_TO_40,9,61,7
11,2019,4O+_TO_45,1,1,1
11,2020,25+_TO_30,26,232,17
11,2020,30+_TO_35,45,228,23
11,2020,35+_TO_40,6,19,4
12,2012,25+_TO_30,5,7,4
12,2012,30+_TO_35,8,35,7
12,2013,25+_TO_30,4,9,3
12,2013,30+_TO_35,7,22,7
12,2013,35+_TO_40,1,30,1
12,2014,25+_TO_30,14,87,10
12,2014,30+_TO_35,9,16,8
12,2015,25+_TO_30,40,516,24
12,2015,30+_TO_35,20,131,14
12,2016,25+_TO_30,12,70,10
12,2016,30+_TO_35,24,129,17
12,2016,35+_TO_40,3,11,2
12,2017,25+_TO_30,10,38,10
12,2017,30+_TO_35,18,181,12
12,2017,35+_TO_40,10,64,9
12,2018,25+_TO_30,12,77,10
12,2018,30+_TO_35,6,32,6
12,2018,35+_TO_40,1,4,1
12,2019,25+_TO_30,20,188,17
12,2019,30+_TO_35,13,67,9
12,2019,35+_TO_40,1,1,1
12,2020,20+_TO_25,1,6,1
12,2020,25+_TO_30,62,330,26
12,2020,30+_TO_35,40,250,22
12,2020,35+_TO_40,1,21,1
