month,year,species,lat_range,sighting_dates,number,sighting_distinct_dates,sites,Season_End,Hectares_Occupied_Start,Hectares_Occupied_End,Drought_Events,Flood_Events,Freeze_Events,Severe_Storm_Events ,Tropical_Cyclone_Events,Wildfire_Events,Winter_Storm_Events,Tons_Used
1,2001,Monarch Larva (FIRST sighted),25+_TO_30,1,1,1,1,2002,2.83,9.36,0,0,0,1,1,0,0,411408
1,2002,Milkweed (FIRST sighted),25+_TO_30,2,2,1,2,2003,9.36,7.54,1,0,0,2,2,1,0,416851
1,2002,Monarch (OTHER Observations),25+_TO_30,1,1,1,1,2003,9.36,7.54,1,0,0,2,2,1,0,416851
1,2002,Monarch Adult Sighted,25+_TO_30,5,5,4,5,2003,9.36,7.54,1,0,0,2,2,1,0,416851
1,2002,Monarch Adult Sighted,30+_TO_35,2,2,2,2,2003,9.36,7.54,1,0,0,2,2,1,0,416851
1,2002,Monarch Adult Sighted,35+_TO_40,3,3,3,3,2003,9.36,7.54,1,0,0,2,2,1,0,416851
1,2002,Monarch Larva (FIRST sighted),25+_TO_30,1,1,1,1,2003,9.36,7.54,1,0,0,2,2,1,0,416851
1,2003,Monarch (OTHER Observations),25+_TO_30,2,2,2,2,2004,7.54,11.12,1,0,0,4,1,1,0,417758
1,2003,Monarch Adult (FIRST sighted),25+_TO_30,1,1,1,1,2004,7.54,11.12,1,0,0,4,1,1,0,417758
1,2003,Monarch Adult (FIRST sighted),30+_TO_35,1,1,1,1,2004,7.54,11.12,1,0,0,4,1,1,0,417758
1,2003,Monarch Adult Sighted,25+_TO_30,5,5,5,5,2004,7.54,11.12,1,0,0,4,1,1,0,417758
1,2003,Monarch Adult Sighted,30+_TO_35,3,3,3,3,2004,7.54,11.12,1,0,0,4,1,1,0,417758
1,2003,Monarch Adult Sighted,35+_TO_40,1,1,1,1,2004,7.54,11.12,1,0,0,4,1,1,0,417758
1,2003,Monarch Egg (FIRST sighted),30+_TO_35,1,1,1,1,2004,7.54,11.12,1,0,0,4,1,1,0,417758
1,2004,Milkweed (FIRST sighted),25+_TO_30,1,1,1,1,2005,11.12,2.19,0,0,0,1,4,0,0,425016
1,2004,Monarch (OTHER Observations),25+_TO_30,4,4,4,3,2005,11.12,2.19,0,0,0,1,4,0,0,425016
1,2004,Monarch Adult (FIRST sighted),25+_TO_30,2,2,2,2,2005,11.12,2.19,0,0,0,1,4,0,0,425016
1,2004,Monarch Adult (FIRST sighted),30+_TO_35,1,1,1,1,2005,11.12,2.19,0,0,0,1,4,0,0,425016
1,2004,Monarch Adult (FIRST sighted),35+_TO_40,1,1,1,1,2005,11.12,2.19,0,0,0,1,4,0,0,425016
1,2004,Monarch Adult Sighted,20_OR_LESS,1,1,1,1,2005,11.12,2.19,0,0,0,1,4,0,0,425016
1,2004,Monarch Adult Sighted,25+_TO_30,4,4,3,4,2005,11.12,2.19,0,0,0,1,4,0,0,425016
1,2004,Monarch Adult Sighted,30+_TO_35,6,6,5,6,2005,11.12,2.19,0,0,0,1,4,0,0,425016
1,2004,Monarch Fall Roost,30+_TO_35,1,1,1,1,2005,11.12,2.19,0,0,0,1,4,0,0,425016
1,2004,Monarch Larva (FIRST sighted),25+_TO_30,1,1,1,1,2005,11.12,2.19,0,0,0,1,4,0,0,425016
1,2005,Monarch (OTHER Observations),25+_TO_30,3,3,3,2,2006,2.19,5.91,1,0,0,1,4,0,0,388275
1,2005,Monarch Adult (FIRST sighted),25+_TO_30,3,3,3,3,2006,2.19,5.91,1,0,0,1,4,0,0,388275
1,2005,Monarch Adult Sighted,20_OR_LESS,1,1,1,1,2006,2.19,5.91,1,0,0,1,4,0,0,388275
1,2005,Monarch Adult Sighted,25+_TO_30,10,10,7,9,2006,2.19,5.91,1,0,0,1,4,0,0,388275
1,2005,Monarch Adult Sighted,30+_TO_35,11,11,3,9,2006,2.19,5.91,1,0,0,1,4,0,0,388275
1,2005,Monarch Adult Sighted,35+_TO_40,9,9,1,9,2006,2.19,5.91,1,0,0,1,4,0,0,388275
1,2005,Monarch Egg (FIRST sighted),25+_TO_30,1,1,1,1,2006,2.19,5.91,1,0,0,1,4,0,0,388275
1,2005,Monarch Larva (FIRST sighted),25+_TO_30,2,2,1,2,2006,2.19,5.91,1,0,0,1,4,0,0,388275
1,2006,Milkweed (FIRST sighted),30+_TO_35,1,1,1,1,2007,5.91,6.87,1,1,0,4,0,1,0,392811
1,2006,Monarch (OTHER Observations),25+_TO_30,2,2,2,2,2007,5.91,6.87,1,1,0,4,0,1,0,392811
1,2006,Monarch Adult (FIRST sighted),25+_TO_30,1,1,1,1,2007,5.91,6.87,1,1,0,4,0,1,0,392811
1,2006,Monarch Adult Sighted,20_OR_LESS,1,1,1,1,2007,5.91,6.87,1,1,0,4,0,1,0,392811
1,2006,Monarch Adult Sighted,25+_TO_30,9,9,8,7,2007,5.91,6.87,1,1,0,4,0,1,0,392811
1,2006,Monarch Adult Sighted,30+_TO_35,17,17,8,16,2007,5.91,6.87,1,1,0,4,0,1,0,392811
1,2006,Monarch Adult Sighted,35+_TO_40,9,9,1,9,2007,5.91,6.87,1,1,0,4,0,1,0,392811
1,2006,Monarch Larva (FIRST sighted),25+_TO_30,3,3,3,3,2007,5.91,6.87,1,1,0,4,0,1,0,392811
1,2007,Milkweed (FIRST sighted),25+_TO_30,1,1,1,1,2008,6.87,4.61,1,0,2,1,0,1,0,400068
1,2007,Milkweed (FIRST sighted),30+_TO_35,1,1,1,1,2008,6.87,4.61,1,0,2,1,0,1,0,400068
1,2007,Monarch (OTHER Observations),25+_TO_30,1,1,1,1,2008,6.87,4.61,1,0,2,1,0,1,0,400068
1,2007,Monarch (OTHER Observations),30+_TO_35,1,1,1,1,2008,6.87,4.61,1,0,2,1,0,1,0,400068
1,2007,Monarch (OTHER Observations),35+_TO_40,1,1,1,1,2008,6.87,4.61,1,0,2,1,0,1,0,400068
1,2007,Monarch (OTHER Observations),4O+_TO_45,1,1,1,1,2008,6.87,4.61,1,0,2,1,0,1,0,400068
1,2007,Monarch Adult (FIRST sighted),20_OR_LESS,1,1,1,1,2008,6.87,4.61,1,0,2,1,0,1,0,400068
1,2007,Monarch Adult (FIRST sighted),30+_TO_35,1,1,1,1,2008,6.87,4.61,1,0,2,1,0,1,0,400068
1,2007,Monarch Adult Sighted,20_OR_LESS,1,1,1,1,2008,6.87,4.61,1,0,2,1,0,1,0,400068
1,2007,Monarch Adult Sighted,25+_TO_30,4,4,4,4,2008,6.87,4.61,1,0,2,1,0,1,0,400068
1,2007,Monarch Adult Sighted,30+_TO_35,5,5,5,5,2008,6.87,4.61,1,0,2,1,0,1,0,400068
1,2007,Monarch Adult Sighted,35+_TO_40,1,1,1,1,2008,6.87,4.61,1,0,2,1,0,1,0,400068
1,2007,Monarch Egg (FIRST sighted),20_OR_LESS,1,1,1,1,2008,6.87,4.61,1,0,2,1,0,1,0,400068
1,2007,Monarch Larva (FIRST sighted),20_OR_LESS,1,1,1,1,2008,6.87,4.61,1,0,2,1,0,1,0,400068
1,2008,Milkweed (FIRST sighted),25+_TO_30,2,2,2,2,2009,4.61,3.06,1,1,0,6,3,1,0,379203
1,2008,Monarch (OTHER Observations),25+_TO_30,1,1,1,1,2009,4.61,3.06,1,1,0,6,3,1,0,379203
1,2008,Monarch (OTHER Observations),4O+_TO_45,1,1,1,1,2009,4.61,3.06,1,1,0,6,3,1,0,379203
1,2008,Monarch Adult (FIRST sighted),25+_TO_30,1,1,1,1,2009,4.61,3.06,1,1,0,6,3,1,0,379203
1,2008,Monarch Adult (FIRST sighted),30+_TO_35,1,1,1,1,2009,4.61,3.06,1,1,0,6,3,1,0,379203
1,2008,Monarch Adult Sighted,20_OR_LESS,2,2,1,2,2009,4.61,3.06,1,1,0,6,3,1,0,379203
1,2008,Monarch Adult Sighted,25+_TO_30,6,6,6,4,2009,4.61,3.06,1,1,0,6,3,1,0,379203
1,2008,Monarch Adult Sighted,30+_TO_35,5,5,4,5,2009,4.61,3.06,1,1,0,6,3,1,0,379203
1,2008,Monarch Adult Sighted,4O+_TO_45,1,1,1,1,2009,4.61,3.06,1,1,0,6,3,1,0,379203
1,2008,Monarch Egg (FIRST sighted),30+_TO_35,1,1,1,1,2009,4.61,3.06,1,1,0,6,3,1,0,379203
1,2008,Monarch Larva (FIRST sighted),25+_TO_30,2,2,1,2,2009,4.61,3.06,1,1,0,6,3,1,0,379203
1,2009,Monarch (OTHER Observations),25+_TO_30,1,1,1,1,2010,3.06,1.92,1,0,0,6,0,1,0,358338
1,2009,Monarch (OTHER Observations),30+_TO_35,1,1,1,1,2010,3.06,1.92,1,0,0,6,0,1,0,358338
1,2009,Monarch Adult (FIRST sighted),30+_TO_35,1,1,1,1,2010,3.06,1.92,1,0,0,6,0,1,0,358338
1,2009,Monarch Adult Sighted,20_OR_LESS,2,2,1,2,2010,3.06,1.92,1,0,0,6,0,1,0,358338
1,2009,Monarch Adult Sighted,25+_TO_30,10,10,6,8,2010,3.06,1.92,1,0,0,6,0,1,0,358338
1,2009,Monarch Adult Sighted,30+_TO_35,15,15,6,15,2010,3.06,1.92,1,0,0,6,0,1,0,358338
1,2009,Monarch Adult Sighted,35+_TO_40,14,14,4,13,2010,3.06,1.92,1,0,0,6,0,1,0,358338
1,2009,Monarch Larva (FIRST sighted),25+_TO_30,4,4,3,4,2010,3.06,1.92,1,0,0,6,0,1,0,358338
1,2009,Monarch Larva (FIRST sighted),30+_TO_35,2,2,2,2,2010,3.06,1.92,1,0,0,6,0,1,0,358338
1,2010,Milkweed (FIRST sighted),25+_TO_30,1,1,1,1,2011,1.92,4.02,0,2,0,4,0,0,1,374818
1,2010,Monarch (OTHER Observations),20_OR_LESS,1,1,1,1,2011,1.92,4.02,0,2,0,4,0,0,1,374818
1,2010,Monarch (OTHER Observations),25+_TO_30,3,3,3,3,2011,1.92,4.02,0,2,0,4,0,0,1,374818
1,2010,Monarch (OTHER Observations),4O+_TO_45,1,1,1,1,2011,1.92,4.02,0,2,0,4,0,0,1,374818
1,2010,Monarch Adult Sighted,25+_TO_30,12,13,10,12,2011,1.92,4.02,0,2,0,4,0,0,1,374818
1,2010,Monarch Adult Sighted,30+_TO_35,7,7,4,7,2011,1.92,4.02,0,2,0,4,0,0,1,374818
1,2010,Monarch Adult Sighted,35+_TO_40,4,4,2,2,2011,1.92,4.02,0,2,0,4,0,0,1,374818
1,2010,Monarch Larva (FIRST sighted),25+_TO_30,1,1,1,1,2011,1.92,4.02,0,2,0,4,0,0,1,374818
1,2011,Milkweed (FIRST sighted),25+_TO_30,1,1,1,1,2012,4.02,2.89,1,2,0,9,2,1,1,391299
1,2011,Monarch (OTHER Observations),25+_TO_30,3,3,3,3,2012,4.02,2.89,1,2,0,9,2,1,1,391299
1,2011,Monarch (OTHER Observations),30+_TO_35,1,1,1,1,2012,4.02,2.89,1,2,0,9,2,1,1,391299
1,2011,Monarch Adult Sighted,20_OR_LESS,2,2,1,2,2012,4.02,2.89,1,2,0,9,2,1,1,391299
1,2011,Monarch Adult Sighted,25+_TO_30,22,22,13,18,2012,4.02,2.89,1,2,0,9,2,1,1,391299
1,2011,Monarch Adult Sighted,30+_TO_35,15,15,13,11,2012,4.02,2.89,1,2,0,9,2,1,1,391299
1,2011,Monarch Adult Sighted,35+_TO_40,21,21,8,2,2012,4.02,2.89,1,2,0,9,2,1,1,391299
1,2011,Monarch Egg (FIRST sighted),25+_TO_30,1,1,1,1,2012,4.02,2.89,1,2,0,9,2,1,1,391299
1,2011,Monarch Larva (FIRST sighted),25+_TO_30,3,3,3,2,2012,4.02,2.89,1,2,0,9,2,1,1,391299
1,2011,Monarch Larva (FIRST sighted),30+_TO_35,1,1,1,1,2012,4.02,2.89,1,2,0,9,2,1,1,391299
1,2012,Milkweed (FIRST sighted),25+_TO_30,5,5,4,4,2013,2.89,1.19,1,0,0,7,2,1,0,407779
1,2012,Milkweed (FIRST sighted),30+_TO_35,2,2,2,2,2013,2.89,1.19,1,0,0,7,2,1,0,407779
1,2012,Monarch (OTHER Observations),25+_TO_30,3,3,3,3,2013,2.89,1.19,1,0,0,7,2,1,0,407779
1,2012,Monarch (OTHER Observations),30+_TO_35,6,13,4,5,2013,2.89,1.19,1,0,0,7,2,1,0,407779
1,2012,Monarch (OTHER Observations),4O+_TO_45,1,1,1,1,2013,2.89,1.19,1,0,0,7,2,1,0,407779
1,2012,Monarch Adult (FIRST sighted),25+_TO_30,2,2,2,2,2013,2.89,1.19,1,0,0,7,2,1,0,407779
1,2012,Monarch Adult (FIRST sighted),30+_TO_35,1,1,1,1,2013,2.89,1.19,1,0,0,7,2,1,0,407779
1,2012,Monarch Adult Sighted,20_OR_LESS,2,2,1,2,2013,2.89,1.19,1,0,0,7,2,1,0,407779
1,2012,Monarch Adult Sighted,25+_TO_30,55,96,27,39,2013,2.89,1.19,1,0,0,7,2,1,0,407779
1,2012,Monarch Adult Sighted,30+_TO_35,46,2056,21,42,2013,2.89,1.19,1,0,0,7,2,1,0,407779
1,2012,Monarch Adult Sighted,35+_TO_40,15,15,2,15,2013,2.89,1.19,1,0,0,7,2,1,0,407779
1,2012,Monarch Egg (FIRST sighted),25+_TO_30,7,7,6,7,2013,2.89,1.19,1,0,0,7,2,1,0,407779
1,2012,Monarch Egg (FIRST sighted),30+_TO_35,3,3,3,3,2013,2.89,1.19,1,0,0,7,2,1,0,407779
1,2012,Monarch Larva (FIRST sighted),25+_TO_30,4,4,4,4,2013,2.89,1.19,1,0,0,7,2,1,0,407779
1,2012,Monarch Larva (FIRST sighted),30+_TO_35,4,4,4,4,2013,2.89,1.19,1,0,0,7,2,1,0,407779
1,2013,Milkweed (FIRST sighted),25+_TO_30,9,9,7,8,2014,1.19,0.67,1,2,0,7,0,0,0,407779
1,2013,Milkweed (FIRST sighted),30+_TO_35,4,4,4,3,2014,1.19,0.67,1,2,0,7,0,0,0,407779
1,2013,Monarch (OTHER Observations),25+_TO_30,4,4,4,2,2014,1.19,0.67,1,2,0,7,0,0,0,407779
1,2013,Monarch (OTHER Observations),30+_TO_35,6,6,4,5,2014,1.19,0.67,1,2,0,7,0,0,0,407779
1,2013,Monarch Adult Sighted,20_OR_LESS,1,1,1,1,2014,1.19,0.67,1,2,0,7,0,0,0,407779
1,2013,Monarch Adult Sighted,25+_TO_30,27,27,16,20,2014,1.19,0.67,1,2,0,7,0,0,0,407779
1,2013,Monarch Adult Sighted,30+_TO_35,25,36,12,19,2014,1.19,0.67,1,2,0,7,0,0,0,407779
1,2013,Monarch Adult Sighted,35+_TO_40,9,9,3,7,2014,1.19,0.67,1,2,0,7,0,0,0,407779
1,2013,Monarch Egg (FIRST sighted),25+_TO_30,3,3,3,3,2014,1.19,0.67,1,2,0,7,0,0,0,407779
1,2013,Monarch Egg (FIRST sighted),30+_TO_35,1,1,1,1,2014,1.19,0.67,1,2,0,7,0,0,0,407779
1,2014,Milkweed (FIRST sighted),25+_TO_30,4,4,4,3,2015,0.67,1.13,1,1,0,6,0,0,1,407779
1,2014,Milkweed (FIRST sighted),30+_TO_35,1,1,1,1,2015,0.67,1.13,1,1,0,6,0,0,1,407779
1,2014,Milkweed (FIRST sighted),35+_TO_40,1,1,1,1,2015,0.67,1.13,1,1,0,6,0,0,1,407779
1,2014,Monarch (OTHER Observations),25+_TO_30,4,4,4,4,2015,0.67,1.13,1,1,0,6,0,0,1,407779
1,2014,Monarch (OTHER Observations),30+_TO_35,5,5,4,3,2015,0.67,1.13,1,1,0,6,0,0,1,407779
1,2014,Monarch (OTHER Observations),35+_TO_40,1,1,1,1,2015,0.67,1.13,1,1,0,6,0,0,1,407779
1,2014,Monarch Adult Sighted,20+_TO_25,1,1,1,1,2015,0.67,1.13,1,1,0,6,0,0,1,407779
1,2014,Monarch Adult Sighted,20_OR_LESS,2,2,1,2,2015,0.67,1.13,1,1,0,6,0,0,1,407779
1,2014,Monarch Adult Sighted,25+_TO_30,18,18,14,15,2015,0.67,1.13,1,1,0,6,0,0,1,407779
1,2014,Monarch Adult Sighted,30+_TO_35,27,11108,15,19,2015,0.67,1.13,1,1,0,6,0,0,1,407779
1,2014,Monarch Adult Sighted,35+_TO_40,7,93361,3,7,2015,0.67,1.13,1,1,0,6,0,0,1,407779
1,2014,Monarch Adult Sighted,4O+_TO_45,1,1,1,1,2015,0.67,1.13,1,1,0,6,0,0,1,407779
1,2014,Monarch Egg (FIRST sighted),25+_TO_30,1,1,1,1,2015,0.67,1.13,1,1,0,6,0,0,1,407779
1,2014,Monarch Egg (FIRST sighted),30+_TO_35,1,1,1,1,2015,0.67,1.13,1,1,0,6,0,0,1,407779
1,2014,Monarch Larva (FIRST sighted),25+_TO_30,1,1,1,1,2015,0.67,1.13,1,1,0,6,0,0,1,407779
1,2014,Monarch Larva (FIRST sighted),30+_TO_35,6,6,5,6,2015,0.67,1.13,1,1,0,6,0,0,1,407779
1,2014,Monarch Larva (FIRST sighted),35+_TO_40,1,1,1,1,2015,0.67,1.13,1,1,0,6,0,0,1,407779
1,2015,Milkweed (FIRST sighted),25+_TO_30,3,3,2,3,2016,1.13,4.01,1,2,0,6,0,1,1,407779
1,2015,Milkweed (FIRST sighted),30+_TO_35,1,1,1,1,2016,1.13,4.01,1,2,0,6,0,1,1,407779
1,2015,Monarch (OTHER Observations),25+_TO_30,1,1,1,1,2016,1.13,4.01,1,2,0,6,0,1,1,407779
1,2015,Monarch (OTHER Observations),30+_TO_35,9,9,6,6,2016,1.13,4.01,1,2,0,6,0,1,1,407779
1,2015,Monarch Adult (FIRST sighted),25+_TO_30,1,1,1,1,2016,1.13,4.01,1,2,0,6,0,1,1,407779
1,2015,Monarch Adult Sighted,20_OR_LESS,3,3,2,3,2016,1.13,4.01,1,2,0,6,0,1,1,407779
1,2015,Monarch Adult Sighted,25+_TO_30,33,33,23,18,2016,1.13,4.01,1,2,0,6,0,1,1,407779
1,2015,Monarch Adult Sighted,30+_TO_35,27,7809,16,12,2016,1.13,4.01,1,2,0,6,0,1,1,407779
1,2015,Monarch Adult Sighted,35+_TO_40,13,127355,5,12,2016,1.13,4.01,1,2,0,6,0,1,1,407779
1,2015,Monarch Adult Sighted,4O+_TO_45,1,8,1,1,2016,1.13,4.01,1,2,0,6,0,1,1,407779
1,2015,Monarch Egg (FIRST sighted),25+_TO_30,3,3,3,3,2016,1.13,4.01,1,2,0,6,0,1,1,407779
1,2015,Monarch Egg (FIRST sighted),30+_TO_35,1,1,1,1,2016,1.13,4.01,1,2,0,6,0,1,1,407779
1,2015,Monarch Egg Sighted,30+_TO_35,1,10,1,1,2016,1.13,4.01,1,2,0,6,0,1,1,407779
1,2015,Monarch Larva (FIRST sighted),25+_TO_30,3,3,2,3,2016,1.13,4.01,1,2,0,6,0,1,1,407779
1,2015,Monarch Larva (FIRST sighted),30+_TO_35,2,2,2,2,2016,1.13,4.01,1,2,0,6,0,1,1,407779
1,2016,Milkweed (FIRST sighted),30+_TO_35,1,1,1,1,2017,4.01,2.91,1,4,0,8,1,1,0,407779
1,2016,Milkweed Sighted,25+_TO_30,8,8,7,8,2017,4.01,2.91,1,4,0,8,1,1,0,407779
1,2016,Milkweed Sighted,30+_TO_35,10,10,7,10,2017,4.01,2.91,1,4,0,8,1,1,0,407779
1,2016,Milkweed Sighted,35+_TO_40,1,1,1,1,2017,4.01,2.91,1,4,0,8,1,1,0,407779
1,2016,Monarch (OTHER Observations),25+_TO_30,8,34,6,7,2017,4.01,2.91,1,4,0,8,1,1,0,407779
1,2016,Monarch (OTHER Observations),30+_TO_35,6,110,6,6,2017,4.01,2.91,1,4,0,8,1,1,0,407779
1,2016,Monarch Adult (FIRST sighted),25+_TO_30,2,2,1,2,2017,4.01,2.91,1,4,0,8,1,1,0,407779
1,2016,Monarch Adult (FIRST sighted),30+_TO_35,2,2,2,2,2017,4.01,2.91,1,4,0,8,1,1,0,407779
1,2016,Monarch Adult Sighted,20_OR_LESS,4,20,2,4,2017,4.01,2.91,1,4,0,8,1,1,0,407779
1,2016,Monarch Adult Sighted,25+_TO_30,35,69,19,29,2017,4.01,2.91,1,4,0,8,1,1,0,407779
1,2016,Monarch Adult Sighted,30+_TO_35,16,233,13,14,2017,4.01,2.91,1,4,0,8,1,1,0,407779
1,2016,Monarch Adult Sighted,35+_TO_40,8,88105,3,8,2017,4.01,2.91,1,4,0,8,1,1,0,407779
1,2016,Monarch Adult Sighted,4O+_TO_45,1,1,1,1,2017,4.01,2.91,1,4,0,8,1,1,0,407779
1,2016,Monarch Egg (FIRST sighted),25+_TO_30,2,36,2,1,2017,4.01,2.91,1,4,0,8,1,1,0,407779
1,2016,Monarch Egg Sighted,25+_TO_30,1,1,1,1,2017,4.01,2.91,1,4,0,8,1,1,0,407779
1,2016,Monarch Egg Sighted,30+_TO_35,2,21,2,2,2017,4.01,2.91,1,4,0,8,1,1,0,407779
1,2016,Monarch Larva (FIRST sighted),25+_TO_30,5,42,5,5,2017,4.01,2.91,1,4,0,8,1,1,0,407779
1,2016,Monarch Larva (FIRST sighted),30+_TO_35,5,33,4,5,2017,4.01,2.91,1,4,0,8,1,1,0,407779
1,2016,Monarch Larva Sighted,25+_TO_30,19,202,17,17,2017,4.01,2.91,1,4,0,8,1,1,0,407779
1,2016,Monarch Larva Sighted,30+_TO_35,15,109,9,11,2017,4.01,2.91,1,4,0,8,1,1,0,407779
1,2016,"Monarch, Captive-Reared",25+_TO_30,5,17,4,4,2017,4.01,2.91,1,4,0,8,1,1,0,407779
1,2016,"Monarch, Captive-Reared",30+_TO_35,6,19,5,6,2017,4.01,2.91,1,4,0,8,1,1,0,407779
1,2017,Milkweed (FIRST sighted),25+_TO_30,2,2,2,2,2018,2.91,2.48,1,2,1,8,3,1,0,407779
1,2017,Milkweed Sighted,30+_TO_35,2,2,2,2,2018,2.91,2.48,1,2,1,8,3,1,0,407779
1,2017,Monarch (OTHER Observations),20+_TO_25,1,3,1,1,2018,2.91,2.48,1,2,1,8,3,1,0,407779
1,2017,Monarch (OTHER Observations),25+_TO_30,8,13,7,7,2018,2.91,2.48,1,2,1,8,3,1,0,407779
1,2017,Monarch (OTHER Observations),30+_TO_35,5,5,3,4,2018,2.91,2.48,1,2,1,8,3,1,0,407779
1,2017,Monarch (OTHER Observations),35+_TO_40,1,1,1,1,2018,2.91,2.48,1,2,1,8,3,1,0,407779
1,2017,Monarch (OTHER Observations),4O+_TO_45,1,1,1,1,2018,2.91,2.48,1,2,1,8,3,1,0,407779
1,2017,Monarch Adult (FIRST sighted),25+_TO_30,1,1,1,1,2018,2.91,2.48,1,2,1,8,3,1,0,407779
1,2017,Monarch Adult (FIRST sighted),35+_TO_40,1,1,1,1,2018,2.91,2.48,1,2,1,8,3,1,0,407779
1,2017,Monarch Adult Sighted,20+_TO_25,4,18,4,4,2018,2.91,2.48,1,2,1,8,3,1,0,407779
1,2017,Monarch Adult Sighted,20_OR_LESS,2,2,2,2,2018,2.91,2.48,1,2,1,8,3,1,0,407779
1,2017,Monarch Adult Sighted,25+_TO_30,43,78,23,43,2018,2.91,2.48,1,2,1,8,3,1,0,407779
1,2017,Monarch Adult Sighted,30+_TO_35,30,36,18,27,2018,2.91,2.48,1,2,1,8,3,1,0,407779
1,2017,Monarch Adult Sighted,35+_TO_40,11,75459,5,11,2018,2.91,2.48,1,2,1,8,3,1,0,407779
1,2017,Monarch Egg Sighted,20+_TO_25,1,5,1,1,2018,2.91,2.48,1,2,1,8,3,1,0,407779
1,2017,Monarch Egg Sighted,25+_TO_30,5,35,5,3,2018,2.91,2.48,1,2,1,8,3,1,0,407779
1,2017,Monarch Egg Sighted,30+_TO_35,1,30,1,1,2018,2.91,2.48,1,2,1,8,3,1,0,407779
1,2017,Monarch Larva Sighted,20+_TO_25,1,5,1,1,2018,2.91,2.48,1,2,1,8,3,1,0,407779
1,2017,Monarch Larva Sighted,25+_TO_30,20,140,13,15,2018,2.91,2.48,1,2,1,8,3,1,0,407779
1,2017,Monarch Larva Sighted,30+_TO_35,22,109,17,18,2018,2.91,2.48,1,2,1,8,3,1,0,407779
1,2017,Monarch Larva Sighted,35+_TO_40,1,5,1,1,2018,2.91,2.48,1,2,1,8,3,1,0,407779
1,2017,"Monarch, Captive-Reared",25+_TO_30,4,27,3,4,2018,2.91,2.48,1,2,1,8,3,1,0,407779
1,2017,"Monarch, Captive-Reared",30+_TO_35,12,24,9,11,2018,2.91,2.48,1,2,1,8,3,1,0,407779
1,2017,"Monarch, Captive-Reared",35+_TO_40,2,47,2,2,2018,2.91,2.48,1,2,1,8,3,1,0,407779
1,2018,Milkweed Sighted,25+_TO_30,1,1,1,1,2019,2.48,6.05,1,0,0,8,2,1,2,407779
1,2018,Monarch (OTHER Observations),25+_TO_30,3,3,3,3,2019,2.48,6.05,1,0,0,8,2,1,2,407779
1,2018,Monarch (OTHER Observations),30+_TO_35,5,23,4,4,2019,2.48,6.05,1,0,0,8,2,1,2,407779
1,2018,Monarch (OTHER Observations),35+_TO_40,1,15,1,1,2019,2.48,6.05,1,0,0,8,2,1,2,407779
1,2018,Monarch Adult (FIRST sighted),25+_TO_30,4,9,4,4,2019,2.48,6.05,1,0,0,8,2,1,2,407779
1,2018,Monarch Adult (FIRST sighted),30+_TO_35,7,9,7,7,2019,2.48,6.05,1,0,0,8,2,1,2,407779
1,2018,Monarch Adult Sighted,20+_TO_25,2,301,2,2,2019,2.48,6.05,1,0,0,8,2,1,2,407779
1,2018,Monarch Adult Sighted,20_OR_LESS,1,1,1,1,2019,2.48,6.05,1,0,0,8,2,1,2,407779
1,2018,Monarch Adult Sighted,25+_TO_30,3,12,3,3,2019,2.48,6.05,1,0,0,8,2,1,2,407779
